cz,Name,Household_Income_rP_gP_pall
cz27801,"Columbus-Norfolk, NE",55606
cz21302,"Owatonna, MN",55565
cz27006,"Mitchell, SD",55535
cz21501,"Minneapolis, MN & WI",55524
cz29002,"Coldwater, KS",55466
cz27011,"Pierre, SD",55449
cz29103,"Beloit, KS",55390
cz27002,"Ord, NE",55331
cz22002,"Iowa Falls, IA",55299
cz19500,"Toms River, NJ",55277
cz26407,"Plentywood, MT",55212
cz27003,"Ainsworth, NE",55168
cz27901,"Hastings, NE",54763
cz26504,"Watertown, SD",54723
cz20500,"Boston, MA",54483
cz28608,"Kearney, NE",54429
cz36303,"Jackson, ID & WY",54395
cz26604,"Mobridge, SD",54369
cz28603,"Phillipsburg, KS",54332
cz27302,"Fairmont, IA & MN",54148
cz28606,"Wano, KS & NE",54093
cz31005,"Perryton, TX",54054
cz19600,"Newark, NJ & NY",54002
cz22001,"Waterloo, IA",53912
cz22500,"Oshkosh, WI",53880
cz22601,"Green Bay, WI",53872
cz28102,"Nebraska City, NE",53798
cz27402,"Fort Dodge, IA",53766
cz23000,"Monroe, WI",53766
cz27004,"Winner, SD",53713
cz27012,"Gettysburg, SD",53697
cz26001,"Roseau, MN",53680
cz22200,"Cedar Rapids, IA",53586
cz27703,"Torrington, WY",53552
cz21801,"Mason City, IA",53550
cz26503,"Sioux Falls, SD",53404
cz27603,"Southwest Jackson UT, SD",53395
cz28607,"McCook, NE",53352
cz36403,"Soda Springs, ID",53256
cz34603,"Casper, WY",53170
cz22400,"Sheboygan, WI",53168
cz27501,"Des Moines, IA",53167
cz26902,"Little Falls, MN",53114
cz22100,"Iowa City, IA",53020
cz22700,"Wausau, WI",52857
cz23100,"Madison, WI",52767
cz27007,"Huron, SD",52749
cz39204,"Condon, OR",52730
cz36000,"Provo, UT",52719
cz36200,"Logan, ID & UT",52520
cz36401,"Steamboat Springs, CO",52257
cz23802,"Clinton, IA",52230
cz20901,"Bridgeport, CT",52227
cz28101,"Lincoln, NE",52174
cz38402,"Pullman, ID & WA",52166
cz22800,"Eau Claire, MN & WI",52164
cz28302,"Ogallala, CO & NE",52094
cz28605,"Goodland, KS",52081
cz31002,"Ulysses, KS",52048
cz29001,"Pratt, KS",52019
cz29101,"Concordia, KS",51984
cz28504,"Burlington, CO",51940
cz29505,"Polk, MO",51907
cz27903,"Grand Island, NE",51762
cz18600,"Albany, NY",51729
cz21900,"Marshalltown, IA",51723
cz34302,"Worland, WY",51641
cz19000,"Allentown, PA",51593
cz21702,"Austin, MN",51521
cz28201,"Red Oak, IA",51496
cz23400,"Bloomington, IL",51426
cz29007,"Township 11, KS",51330
cz26408,"Glasgow, MT",51284
cz28303,"Oshkosh, NE",51255
cz16300,"Pittsburgh, PA",51220
cz34301,"Cody, WY",51174
cz18202,"St. Marys, PA",51080
cz34604,"Lusk, WY",51062
cz36100,"Salt Lake City, UT",51026
cz35904,"Richfield, UT",51014
cz34305,"Miles City, MT",51014
cz27701,"Scottsbluff, NE",51012
cz28301,"Sterling, CO",50957
cz20600,"Manchester, ME & NH",50947
cz29302,"Newton, KS",50846
cz22900,"La Crosse, MN & WI",50837
cz28602,"Norton, KS",50736
cz22300,"Ottumwa, IA",50729
cz35202,"Gunnison, CO",50695
cz28001,"Sioux City, IA & NE & SD",50643
cz26002,"Duluth, MN & WI",50636
cz34304,"Sheridan, MT & WY",50634
cz28306,"North Platte, NE",50592
cz19100,"Reading, PA",50550
cz31401,"Midland, TX",50470
cz28609,"Lexington, NE",50443
cz30904,"Pampa, TX",50272
cz23302,"Douglas, IL",50262
cz28704,"Laramie, CO & WY",50141
cz29004,"Great Bend, KS",50137
cz34303,"Riverton, WY",50115
cz28202,"Omaha, IA & NE",50041
cz13400,"Lima, OH",50029
cz11304,"Washington DC, DC & MD & VA",49976
cz37601,"Elko, NV",49970
cz37800,"San Francisco, CA",49937
cz35902,"Price, UT",49906
cz26602,"Sisseton, SD",49872
cz31102,"La Grange, TX",49860
cz19300,"Poughkeepsie, NY",49839
cz21102,"Amery, WI",49782
cz26301,"Devils Lake, ND",49659
cz23801,"Davenport, IA & IL",49572
cz21600,"Brainerd, MN",49563
cz20401,"Providence, MA & RI",49538
cz35905,"Loa, UT",49512
cz21002,"Houghton, MI",49505
cz26004,"International Falls, MN",49503
cz26701,"Bemidji, MN",49413
cz28304,"Valentine, NE",49335
cz20200,"Burlington, VT",49257
cz19200,"Harrisburg, PA",49239
cz21502,"Pine City, MN",49146
cz27502,"Creston, IA",49146
cz34308,"Billings, MT",49100
cz11402,"Marinette, MI & WI",49067
cz34309,"Harlowton, MT",49043
cz23600,"Burlington, IA & IL & MO",48997
cz30501,"Woodward, OK",48990
cz14700,"Evansville, IL & IN",48943
cz18000,"Buffalo, NY",48853
cz20403,"Oak Bluffs, MA",48840
cz34402,"Bozeman, MT",48838
cz16100,"State College, PA",48837
cz34403,"Helena, MT",48826
cz37500,"San Jose, CA",48795
cz26106,"Centerville, IA",48786
cz34401,"Dillon, MT",48768
cz28501,"Springfield, CO",48714
cz21004,"Rhinelander, WI",48713
cz28800,"Fort Collins, CO",48702
cz18700,"Sunbury, PA",48635
cz27009,"Chamberlain, SD",48624
cz31402,"Pecos, TX",48622
cz34602,"Rawlins, WY",48615
cz30905,"Wellington, TX",48606
cz37602,"Winnemucca, NV",48596
cz21101,"Rice Lake, WI",48503
cz34404,"Butte-Silver Bow, MT",48498
cz27702,"Cheyenne, NE & WY",48483
cz25500,"Centralia, IL",48430
cz23900,"Peoria, IL",48381
cz29402,"Emporia, KS",48366
cz21001,"Ashland, WI",48342
cz18800,"Scranton, PA",48328
cz39400,"Seattle, WA",48313
cz24100,"Milwaukee, WI",48290
cz36301,"Pocatello, ID",48198
cz39205,"John Day, OR",48113
cz28702,"Glenwood Springs, CO",48073
cz33801,"Elk City, OK",48070
cz19700,"Philadelphia, NJ & PA",48065
cz31900,"Pearland, TX",48061
cz27601,"Rapid City, SD",47965
cz16200,"Altoona, PA",47869
cz13502,"Defiance, OH",47862
cz28701,"Salida, CO",47845
cz12800,"Washington, IN",47832
cz28900,"Denver, CO",47795
cz15600,"Wheeling, OH & WV",47753
cz37903,"Mammoth Lakes, CA",47717
cz31304,"Mason, TX",47684
cz35901,"St. George, UT",47657
cz34701,"Honolulu, HI",47594
cz24300,"Chicago, IL",47589
cz17700,"Syracuse, NY",47588
cz11401,"Marquette, MI",47572
cz20800,"Springfield, MA",47568
cz34204,"Lewistown, MT",47564
cz32403,"Snyder, TX",47558
cz34202,"Shelby, MT",47446
cz11301,"Fredericksburg, VA",47395
cz21003,"Ironwood, MI & WI",47390
cz31006,"Guymon, KS & OK & TX",47245
cz39302,"Bellingham, WA",47231
cz38502,"Wenatchee, WA",47190
cz14801,"Olney, IL",47130
cz29104,"Salina, KS",47125
cz22602,"Shawano, WI",47063
cz20302,"Claremont, NH & VT",47019
cz26003,"West Cook UT, MN",46993
cz36503,"Lakeview, OR",46969
cz35702,"Burley, ID",46968
cz28402,"Limon, CO",46901
cz32603,"Seymour, TX",46894
cz32602,"Graham, TX",46862
cz24900,"Edwardsville, IL",46858
cz18900,"Williamsport, PA",46805
cz30502,"Enid, OK",46767
cz24000,"Kenosha, WI",46758
cz23500,"Decatur, IL",46749
cz17900,"Union, NY & PA",46734
cz29501,"Leavenworth, KS",46732
cz26103,"Brookfield, MO",46721
cz29203,"Manhattan, KS",46714
cz39202,"Enterprise, OR",46713
cz29204,"Topeka, KS",46686
cz25000,"Quincy, IL & MO",46658
cz29005,"Hutchinson, KS",46635
cz30401,"Stillwater, OK",46633
cz11700,"Lansing, MI",46627
cz31101,"Victoria, TX",46579
cz14100,"Fort Wayne, IN",46526
cz37700,"Santa Rosa, CA",46512
cz35903,"Moab, UT",46455
cz16702,"Morgantown, WV",46427
cz14500,"Lafayette, IL & IN",46422
cz19400,"New York, NY",46402
cz13300,"Findlay, OH",46371
cz24802,"Springfield, IL",46360
cz24400,"Rockford, IL",46337
cz29601,"Columbia, MO",46319
cz20902,"Pittsfield, MA & VT",46303
cz29506,"Bethany, MO",46290
cz14802,"Vincennes, IL & IN",46181
cz13800,"Wayne, IN",46167
cz12200,"Grand Rapids, MI",46138
cz34504,"Missoula, MT",46133
cz34203,"Great Falls, MT",46120
cz23700,"Galesburg, IL",46116
cz31403,"Fort Stockton, TX",46044
cz24801,"Jacksonville, IL",46028
cz20700,"Keene, NH & VT",46012
cz24200,"Bourbonnais, IL",45960
cz29502,"Kansas City, KS & MO",45902
cz31007,"Dumas, TX",45838
cz18100,"Elmira, NY & PA",45825
cz39100,"Kennewick, OR & WA",45803
cz16500,"Erie, NY & PA",45786
cz38401,"Lewiston, ID & WA",45771
cz24701,"St. Louis, IL & MO",45747
cz14900,"Gary, IN",45710
cz38501,"Moses Lake, WA",45676
cz35201,"Grand Junction, CO",45643
cz4004,"Many, LA",45616
cz17502,"Winchester, VA & WV",45587
cz3400,"Houma, LA",45564
cz38801,"Portland, OR & WA",45536
cz18201,"Olean, NY & PA",45486
cz12701,"Cincinnati, KY & OH",45479
cz28703,"Granby, CO",45467
cz23301,"Charleston, IL",45452
cz13501,"Toledo, MI & OH",45401
cz18400,"Plattsburgh, NY",45397
cz15000,"Canton, OH",45366
cz36302,"Salmon, ID",45351
cz34501,"Bonners Ferry, ID",45251
cz17800,"Oneonta, NY",45165
cz39301,"Friday Harbor, WA",45149
cz38601,"Spokane, ID & WA",45134
cz29003,"Dodge City, KS",45062
cz20301,"Berlin, NH & VT",45032
cz13200,"Owensboro, KY",45032
cz11302,"Baltimore, MD",45021
cz35701,"Twin Falls, ID",45002
cz20100,"Portland, ME",44979
cz18300,"Watertown, NY",44963
cz38200,"Santa Barbara, CA",44942
cz26406,"Wolf Point, MT",44927
cz19800,"Wilmington, DE & MD",44918
cz13700,"Concord, IN & MI",44871
cz30801,"Hobbs, NM & TX",44759
cz29401,"Ottawa, KS",44753
cz17400,"Hagerstown, MD & PA & WV",44741
cz15200,"Cleveland, OH",44701
cz39201,"La Grande, OR",44656
cz29303,"Winfield, KS",44633
cz29301,"Wichita, KS",44616
cz26107,"Kirksville, MO",44564
cz29403,"Bartlesville, KS & OK",44539
cz11900,"Saginaw, MI",44527
cz17200,"Harrisonburg, VA & WV",44518
cz25602,"Harrisburg, IL",44516
cz32000,"Houston, TX",44508
cz32401,"Big Spring, TX",44496
cz13103,"Bardstown, KY",44485
cz12301,"Traverse City, MI",44476
cz35803,"McCall, ID",44415
cz34502,"Libby, MT",44406
cz38602,"Colville, WA",44393
cz32702,"Stephenville, TX",44377
cz28401,"Colorado Springs, CO",44344
cz35801,"Boise City, ID",44321
cz32503,"Haskell, TX",44191
cz16400,"Youngstown, OH & PA",44185
cz37603,"Portola, CA",44114
cz18500,"Amsterdam, NY",44111
cz34503,"Kalispell, MT",44061
cz15500,"Steubenville, OH & WV",44033
cz31201,"Austin, TX",44004
cz12100,"Kalamazoo, MI",43995
cz29503,"St. Joseph, KS & MO",43990
cz34702,"Kapaa, HI",43980
cz37400,"Sacramento, CA & NV",43973
cz31001,"Garden City, KS",43947
cz11600,"Detroit, MI",43874
cz11800,"Mount Pleasant, MI",43853
cz14400,"Terre Haute, IN",43823
cz33000,"Fort Worth, TX",43764
cz31004,"Liberal, KS & OK",43649
cz26102,"Marshall, MO",43642
cz11500,"Jackson, MI",43621
cz25601,"Carbondale, IL",43596
cz34703,"Kahului, HI",43536
cz13600,"South Bend, IN & MI",43519
cz17501,"Cumberland, MD & WV",43501
cz36501,"Klamath Falls, CA & OR",43492
cz17600,"Charlottesville, VA",43488
cz38000,"San Diego, CA",43447
cz34201,"Havre, MT",43441
cz32601,"Wichita Falls, TX",43424
cz19902,"Easton, MD",43419
cz14200,"Indianapolis, IN",43418
cz1701,"Raleigh, NC",43417
cz26104,"Trenton, MO",43362
cz13900,"Center, IN",43344
cz15100,"Lorain, OH",43324
cz15300,"Parkersburg, OH & WV",43318
cz12401,"Alpena, MI",43289
cz12002,"Ludington, MI",43273
cz24702,"Mexico, MO",43269
cz38802,"The Dalles, OR & WA",43256
cz14300,"Columbus, IN",43254
cz25200,"Henderson, KY",43218
cz13102,"Madison, IN & KY",43206
cz30402,"Tulsa, OK",43183
cz27604,"Murdo, SD",43179
cz16703,"Buckhannon, WV",43173
cz20003,"Presque Isle, ME",43167
cz31303,"Kerrville, TX",43128
cz12302,"Petoskey, MI",43114
cz15900,"Columbus, OH",43105
cz3800,"Lafayette, LA",43102
cz2300,"Lynchburg, VA",43060
cz38700,"Longview, OR & WA",43035
cz3201,"Jena, LA",42959
cz38901,"Eugene, OR",42950
cz25401,"Paducah, IL & KY",42918
cz26105,"Polk, MO",42840
cz39203,"Bend, OR",42837
cz39303,"Port Angeles, WA",42829
cz30903,"Amarillo, TX",42813
cz14600,"Bloomington, IN",42781
cz32100,"Beaumont, TX",42761
cz35300,"Farmington, CO & NM",42747
cz33802,"Chickasha, OK",42724
cz34804,"Clayton, NM",42699
cz3700,"Lake Charles, LA",42694
cz2400,"Richmond, VA",42681
cz32501,"Abilene, TX",42680
cz16600,"Roanoke, VA & WV",42677
cz31800,"College Station, TX",42635
cz35002,"Safford, AZ",42591
cz25402,"Murray, KY",42564
cz33803,"Oklahoma City, OK",42558
cz37604,"Reno, NV",42550
cz16000,"Mansfield, OH",42548
cz12501,"Dayton, OH",42547
cz20001,"Bangor, ME",42458
cz17300,"Staunton, VA",42444
cz33100,"Dallas, TX",42373
cz39000,"Yakima, WA",42357
cz26303,"Turtle Mountain UT, ND",42336
cz30701,"Roswell, NM",42282
cz26101,"Moberly, MO",42215
cz13101,"Louisville, IN & KY",42187
cz35402,"Cortez, CO & UT",42185
cz30300,"Fayetteville, AR & MO & OK",42128
cz12001,"Big Rapids, MI",42106
cz35001,"Phoenix, AZ",42059
cz35401,"Flagstaff, AZ & UT",42058
cz16901,"Charleston, WV",41865
cz38300,"Los Angeles, AZ & CA",41865
cz34307,"Colstrip, MT",41815
cz31302,"Beeville, TX",41801
cz34802,"Santa Fe, NM",41798
cz34109,"Juneau, AK",41749
cz5600,"Nashville, TN",41726
cz33400,"Longview, TX",41722
cz3500,"Baton Rouge, LA",41720
cz36502,"Burns, OR",41708
cz33700,"Ardmore, OK",41687
cz32302,"Brady, TX",41577
cz29901,"Joplin, KS & MO & OK",41574
cz25701,"Cape Girardeau, MO",41561
cz36600,"Redding, CA",41519
cz29504,"Sedalia, MO",41488
cz35802,"Ontario, ID & OR",41477
cz16802,"Summersville, WV",41453
cz37300,"Chico, CA",41403
cz15400,"Zanesville, OH",41329
cz24600,"Farmington, MO",41304
cz32301,"San Angelo, TX",41297
cz37100,"Bakersfield, CA",41265
cz12402,"Grayling charter, MI",41221
cz11403,"Sault Ste. Marie, MI",41216
cz11201,"Bluefield, VA & WV",41212
cz32701,"Brownwood, TX",41163
cz13000,"Elizabethtown, KY",41077
cz2500,"Newport News, VA",41077
cz31700,"Corpus Christi, TX",41033
cz30802,"Lubbock, TX",41020
cz31202,"Burnet, TX",40982
cz16801,"Beckley, WV",40934
cz31404,"Alpine, TX",40930
cz29700,"Springfield, MO",40889
cz16701,"Elkins, WV",40875
cz32402,"Sweetwater, TX",40860
cz29902,"Center, MO",40843
cz34805,"Alamosa, CO",40821
cz6000,"Huntsville, AL & TN",40805
cz34102,"Anchorage, AK",40774
cz33601,"Lawton, OK",40751
cz35600,"Hilo, HI",40744
cz30906,"Memphis, TX",40731
cz29602,"Eldon, MO",40680
cz33902,"Sherman, OK & TX",40653
cz5700,"Tullahoma, TN",40595
cz33602,"Altus, OK",40581
cz34306,"Jordan, MT",40560
cz30902,"Littlefield, TX",40555
cz33300,"Tyler, TX",40543
cz401,"Winston-Salem, NC",40535
cz37000,"Modesto, CA",40528
cz36800,"Medford, OR",40481
cz16902,"Spencer, WV",40468
cz9100,"Atlanta, GA",40401
cz36700,"Eureka, CA",40355
cz5401,"Bowling Green, KY",40345
cz27704,"Gordon, NE & SD",40325
cz38902,"Newport, OR",40268
cz4003,"Ruston, LA",40178
cz4302,"Searcy, AR",40177
cz6200,"Florence, AL & TN",40117
cz28503,"Trinidad, CO",40112
cz19901,"Dover, DE & MD",40074
cz12901,"Lexington-Fayette, KY",40073
cz32305,"Del Rio, TX",40041
cz1203,"Asheville, NC",40039
cz32802,"Corsicana, TX",40033
cz33901,"Ada, OK",39984
cz24500,"Rolla, MO",39938
cz900,"Charlotte, NC & SC",39880
cz32604,"Vernon, TX",39868
cz14000,"Muncie, IN",39835
cz25300,"Union City, KY & TN",39828
cz25103,"Harrison, AR",39816
cz36902,"Roseburg, OR",39807
cz32502,"Childress, TX",39796
cz34115,"Fairbanks, AK",39750
cz5402,"Glasgow, KY & TN",39720
cz11303,"Colonial Beach, VA",39712
cz7200,"Cape Coral, FL",39665
cz30901,"Clovis, NM & TX",39649
cz6900,"Sarasota, FL",39611
cz32201,"Huntsville, TX",39591
cz5500,"Columbia, TN",39576
cz29800,"Aurora, MO",39541
cz302,"Knoxville, TN",39472
cz1001,"Boone, NC & TN",39455
cz31301,"San Antonio, TX",39454
cz25105,"Batesville, AR",39338
cz2000,"Virginia Beach, NC & VA",39316
cz34901,"Albuquerque, NM",39310
cz7300,"Palm Bay, FL",39299
cz10700,"Birmingham, AL",39292
cz33200,"Paris, TX",39278
cz30000,"Russellville, AR",39245
cz30605,"Van Horn, TX",39186
cz1201,"Franklin, GA & NC",39170
cz5800,"Dickson, TN",39144
cz12600,"Wayne, IN",39119
cz25104,"Heber Springs, AR",39088
cz15800,"Athens, OH & WV",39062
cz25101,"Mountain Home, AR & MO",39049
cz17100,"Huntington, KY & OH & WV",38915
cz9400,"Gainesville, GA",38913
cz32900,"Killeen, TX",38912
cz8300,"Greenville, SC",38900
cz28502,"Pueblo, CO",38870
cz30100,"Fort Smith, AR & OK",38815
cz7100,"Port St. Lucie, FL",38791
cz9301,"Winder, GA",38785
cz31103,"Gonzales, TX",38776
cz32304,"Uvalde, TX",38762
cz3300,"New Orleans, LA",38663
cz6302,"Cookeville, TN",38651
cz35100,"Tucson, AZ",38632
cz601,"North Wilkesboro, NC",38565
cz4903,"Lexington, TN",38547
cz25900,"Jonesboro, AR",38526
cz4200,"Little Rock, AR",38521
cz12502,"Washington Court House, OH",38501
cz1100,"Hickory, NC",38489
cz500,"Greensboro, NC & VA",38433
cz33603,"Frederick, OK",38422
cz4101,"Crossett, AR",38393
cz602,"Galax, NC & VA",38380
cz32202,"Nacogdoches, TX",38373
cz32801,"Waco, TX",38368
cz10600,"Jasper, AL",38321
cz7400,"Orlando, FL",38306
cz6401,"Chattanooga, GA & TN",38289
cz30602,"Alamogordo, NM",38265
cz30908,"Plainview, TX",38227
cz7900,"Gainesville, FL",38213
cz4001,"Magnolia, AR",38182
cz36901,"Crescent City, CA & OR",38175
cz6700,"Tampa, FL",38109
cz1202,"Sylva, NC",38055
cz11203,"Big Stone Gap, VA",38030
cz37901,"Las Vegas, AZ & NV",38029
cz3102,"Brookhaven, MS",38023
cz10900,"Pensacola, FL",38002
cz12702,"Maysville, KY",37996
cz7000,"Miami, FL",37903
cz25102,"West Plains, AR & MO",37898
cz33500,"Texarkana, AR & TX",37887
cz5900,"Clarksville, KY & TN",37787
cz6100,"Gadsden, AL",37778
cz12903,"Danville, KY",37737
cz10302,"Dothan, AL",37719
cz17000,"Pikeville, KY & WV",37649
cz3600,"Alexandria, LA",37646
cz100,"Johnson City, TN & VA",37588
cz4601,"Campbellsville, KY",37566
cz7600,"Jacksonville, FL & GA",37487
cz6502,"Cleveland, TN",37474
cz1204,"Andrews, GA & NC",37414
cz34103,"Valdez, AK",37393
cz8100,"Columbia, SC",37360
cz30403,"Okmulgee, OK",37337
cz32306,"Eagle Pass, TX",37332
cz8202,"Charleston, SC",37319
cz700,"Spartanburg, NC & SC",37292
cz37200,"Fresno, CA",37188
cz5201,"New Albany, MS",37132
cz11102,"Troy, AL",37100
cz30601,"El Paso, NM & TX",37047
cz1002,"Morganton, NC",37026
cz2700,"Gulfport, MS",37021
cz15700,"Scioto, OH",37001
cz4901,"Jackson, TN",36997
cz11001,"Mobile, AL",36981
cz34111,"Ketchikan, AK",36960
cz1900,"Jacksonville, NC",36956
cz34001,"Hot Springs, AR",36915
cz26603,"East Corson UT, ND & SD",36914
cz8401,"Aiken, GA & SC",36823
cz2900,"Hattiesburg, MS",36821
cz34108,"Kodiak, AK",36766
cz4402,"Richmond, KY",36741
cz10000,"Panama City, FL",36735
cz11202,"Welch, WV",36724
cz9600,"LaGrange, AL & GA",36710
cz34110,"Sitka, AK",36691
cz800,"Gastonia, NC",36672
cz2100,"Washington, NC",36528
cz9900,"Tallahassee, FL",36521
cz7500,"Deltona, FL",36517
cz4103,"El Dorado, AR",36501
cz1500,"Wilmington, NC",36470
cz19903,"Chincoteague, VA",36436
cz5100,"Corinth, MS & TN",36399
cz30200,"Muskogee, OK",36398
cz8800,"Savannah, GA & SC",36389
cz5000,"Tupelo, MS",36367
cz4002,"Shreveport, LA",36349
cz12902,"Mount Sterling, KY",36281
cz6301,"McMinnville, TN",36219
cz402,"Martinsville, VA",36204
cz2200,"South Boston, VA",36191
cz9800,"Auburn, AL",36131
cz11002,"Atmore, AL",36103
cz31600,"Brownsville, TX",36038
cz30702,"Santa Rosa, NM",36036
cz9302,"Toccoa, GA",36034
cz20002,"Calais, ME",36028
cz6600,"Rome, AL & GA",35997
cz2800,"Laurel, MS",35966
cz7800,"Ocala, FL",35961
cz6402,"Crossville, TN",35957
cz1800,"Goldsboro, NC",35948
cz34002,"Idabel, AR & OK",35908
cz6800,"Lakeland, FL",35896
cz8900,"Macon, GA",35749
cz3202,"Natchez, LA & MS",35721
cz31501,"Crystal City, TX",35678
cz31502,"Pearsall, TX",35653
cz30907,"Matador, TX",35597
cz3003,"Jackson, MS",35591
cz6501,"Ellijay, GA",35547
cz3901,"Monroe, LA",35343
cz34803,"Tucumcari, NM",35339
cz25702,"Poplar Bluff, MO",35329
cz11101,"Montgomery, AL",35036
cz31503,"Laredo, TX",35015
cz9500,"Talladega, AL",34974
cz10801,"Tuscaloosa, AL",34968
cz200,"Morristown, TN",34941
cz37902,"Reno, NV",34915
cz1600,"Wilson, NC",34831
cz34801,"Las Vegas, NM",34761
cz10400,"Meridian, MS",34668
cz4301,"Stuttgart, AR",34664
cz8601,"Waycross, GA",34557
cz3101,"McComb, MS",34523
cz4401,"London, KY",34518
cz4502,"Hazard, KY",34479
cz8000,"Sumter, SC",34432
cz8602,"Brunswick, GA",34428
cz10102,"Thomasville, GA",34428
cz35500,"Gallup, AZ & NM",34358
cz8702,"Statesboro, GA",34352
cz30604,"Deming, NM",34227
cz4602,"Somerset, KY & TN",34214
cz8701,"Hinesville, GA",34090
cz9001,"Vidalia, GA",34045
cz5202,"Memphis, MS & TN",34030
cz32303,"Junction, TX",33893
cz7700,"Lake City, FL",33853
cz34902,"Socorro, NM",33847
cz10502,"Starkville, MS",33799
cz30603,"Truth or Consequences, NM",33730
cz9003,"Dublin, GA",33523
cz4902,"Dyersburg, TN",33488
cz8503,"Valdosta, GA",33483
cz301,"Middlesborough, KY & TN",33445
cz8501,"Fitzgerald, GA",33420
cz10501,"Columbus, AL & MS",33408
cz1302,"Florence, SC",33319
cz4501,"West Liberty, KY",33263
cz8402,"Washington, GA",33256
cz9200,"Griffin, GA",33255
cz4102,"Pine Bluff, AR",33053
cz3902,"Lake Providence, LA",32997
cz1400,"Fayetteville, NC",32987
cz9701,"Columbus, AL & GA",32667
cz3203,"Vicksburg, LA & MS",32606
cz38100,"Yuma, AZ & CA",32545
cz10802,"Demopolis, AL",32437
cz10101,"Bainbridge, GA",32421
cz34114,"Unalaska, AK",32277
cz25800,"Blytheville, AR & MO",32178
cz2600,"Roanoke Rapids, NC & VA",32041
cz3001,"Kosciusko, MS",31842
cz9002,"Milledgeville, GA",31820
cz9702,"Americus, GA",31555
cz10301,"Eufaula, AL & GA",31530
cz10200,"Albany, GA",30809
cz4702,"Clarksdale, MS",30728
cz4701,"Greenwood, MS",30666
cz1702,"Henderson, NC",30458
cz8502,"Cordele, GA",30395
cz1301,"Bennettsville, SC",30338
cz8201,"Barnwell, SC",30028
cz5300,"West Memphis, AR",29994
cz3002,"Yazoo City, MS",28467
cz27602,"Eagle Butte, SD",28428
cz34101,"Sand Point, AK",27755
cz4800,"Greenville, MS",27719
cz27605,"Mission, SD",27350
cz34113,"Barrow, AK",27309
cz34104,"Bristol Bay, AK",25505
cz34107,"Dillingham, AK",25087
cz34106,"Nome, AK",24313
cz34105,"Kotzebue, AK",19122
cz34112,"Bethel, AK",15465
,,44350.21727
